City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Tevaitoa,PF,77.34,broken clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
5,Faanui,PF,77.63,moderate rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
7,Puerto Ayora,EC,76.96,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
8,Hithadhoo,MV,82.92,clear sky,-0.6,73.0833,Scoop Guest House
11,Cabo San Lucas,MX,81.95,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
13,Am Timan,TD,75.09,broken clouds,11.0297,20.2827,Palais du chef Canton Salamt
32,Manicore,BR,78.75,clear sky,-5.8092,-61.3003,Hotel Durval
33,Mahroni,IN,75.07,overcast clouds,24.5862,78.7288,Sahu Samaj Dharmashala
34,Cayenne,GF,82.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
40,Fortuna,US,83.43,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
42,Dhidhdhoo,MV,82.15,broken clouds,6.8833,73.1,Dhidhoo beach
44,Kupang,ID,79.38,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
46,Vanimo,PG,78.51,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
48,Santa Rosa,PH,81.1,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
52,Zhuhai,CN,85.05,few clouds,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
59,Pasighat,IN,75.0,overcast clouds,28.0667,95.3333,Siang Guest House
60,Butaritari,KI,83.64,clear sky,3.0707,172.7902,Isles Sunset Lodge
61,Georgetown,MY,77.9,few clouds,5.4112,100.3354,Cititel Penang
62,Tiznit,MA,77.05,clear sky,29.5833,-9.5,
65,Harper,LR,77.31,light rain,4.375,-7.7169,Screensaver
71,Atuona,PF,78.3,light rain,-9.8,-139.0333,Villa Enata
75,Avarua,CK,77.05,scattered clouds,-21.2078,-159.775,Paradise Inn
76,Fukue,JP,77.23,broken clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
77,Gwadar,PK,79.88,overcast clouds,25.1216,62.3254,Sadaf Resort
78,Diamantino,BR,82.74,overcast clouds,-14.4086,-56.4461,Hotel Delta
81,Mabaruma,GY,80.6,thunderstorm,8.2,-59.7833,Monty Brooms Guest House
91,Kapaa,US,84.52,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
93,Touros,BR,79.7,clear sky,-5.1989,-35.4608,INN NEW HORIZON
100,Axim,GH,76.41,clear sky,4.8699,-2.2405,Axim Beach Resort And Spa
101,Sola,VU,79.47,broken clouds,-13.8833,167.55,Leumerus Bungalows
104,Mangrol,IN,79.56,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
108,Hilo,US,79.11,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
110,Kavieng,PG,83.19,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
111,Calvia,ES,78.08,few clouds,39.5657,2.5062,Castell Son Claret
114,Kousseri,CM,80.56,moderate rain,12.0769,15.0306,Le Pilotis
120,San Andres,CO,87.82,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
124,Turiacu,BR,77.47,broken clouds,-1.6633,-45.3717,Pousada Maranata
129,Eureka,US,83.68,overcast clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
130,Mecca,SA,87.44,broken clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
132,Port-Gentil,GA,78.76,scattered clouds,-0.7193,8.7815,Fengshui Residence
135,Ternate,ID,78.98,light rain,0.8,127.4,Grand Dafam Bela Ternate
138,Vila Velha,BR,76.95,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
139,Port Blair,IN,78.8,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
144,Ewa Beach,US,87.75,scattered clouds,21.3156,-158.0072,Uncle Junior Robert
146,Kahului,US,84.97,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
147,Namatanai,PG,82.11,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
149,Camopi,GF,78.44,overcast clouds,3.1655,-52.3158,
150,Linguere,SN,89.82,clear sky,15.3953,-15.1193,AYO Casablanca
157,Salalah,OM,80.69,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
161,Kalmunai,LK,79.36,overcast clouds,7.4167,81.8167,VS Villa
169,Hatillo,PR,85.86,scattered clouds,18.4863,-66.8254,Hotel Parador El Buen Cafe
171,Guerrero Negro,MX,83.61,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
173,Tiarei,PF,80.62,broken clouds,-17.5333,-149.3333,Le Rocher de Tahiti
174,Illela,NG,87.39,broken clouds,13.7292,5.2975,
180,Santo Tomas,PH,79.57,overcast clouds,14.1079,121.1414,Microtel by Wyndham Batangas
181,Hambantota,LK,77.34,few clouds,6.1241,81.1185,Bungalow 63
182,Balabac,PH,79.7,overcast clouds,7.9868,117.0645,Sing and Swing Lodge
