,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Busselton,AU,-33.65,115.3333,46.09,80,9,0.65,clear sky
1,Ulladulla,AU,-35.35,150.4667,65.88,71,21,9.19,few clouds
2,San Juan,AR,-31.5375,-68.5364,74.73,25,49,3.29,scattered clouds
3,Shakiso,ET,5.75,38.9167,54.1,92,37,3.65,scattered clouds
4,Tevaitoa,PF,-16.7833,-151.5,77.34,76,67,19.17,broken clouds
5,Faanui,PF,-16.4833,-151.75,77.63,78,38,18.34,moderate rain
6,Rikitea,PF,-23.1203,-134.9692,73.49,82,60,23.71,moderate rain
7,Puerto Ayora,EC,-0.7393,-90.3518,76.96,87,71,11.01,broken clouds
8,Hithadhoo,MV,-0.6,73.0833,82.92,72,9,10.31,clear sky
9,Tiksi,RU,71.6872,128.8694,41.77,61,99,6.91,overcast clouds
10,Thompson,CA,55.7435,-97.8558,68.16,52,75,8.05,broken clouds
11,Cabo San Lucas,MX,22.8909,-109.9124,81.95,86,100,1.99,overcast clouds
12,Saint-Philippe,RE,-21.3585,55.7679,68.22,82,45,5.77,scattered clouds
13,Am Timan,TD,11.0297,20.2827,75.09,91,81,2.44,broken clouds
14,Punta Arenas,CL,-53.15,-70.9167,51.91,43,0,5.75,clear sky
15,Bluff,NZ,-46.6,168.3333,49.8,68,87,23.53,overcast clouds
16,Hastings,GB,50.8552,0.5729,65.28,99,42,5.59,scattered clouds
17,Jamestown,US,42.097,-79.2353,68.09,63,20,10.29,few clouds
18,Kaitangata,NZ,-46.2817,169.8464,46.17,89,100,11.18,overcast clouds
19,Dikson,RU,73.5069,80.5464,41.2,82,8,5.26,clear sky
20,Gornopravdinsk,RU,60.05,69.9,44.26,87,57,8.08,broken clouds
21,Hobart,AU,-42.8794,147.3294,48.06,68,20,3.0,few clouds
22,Ushuaia,AR,-54.8,-68.3,49.66,40,40,14.97,scattered clouds
23,Ahipara,NZ,-35.1667,173.1667,60.6,76,98,15.99,overcast clouds
24,Vaini,TO,-21.2,-175.2,73.56,83,90,10.36,overcast clouds
25,Kamenka,RU,51.3223,42.7678,56.53,60,35,7.74,scattered clouds
26,Albany,US,42.6001,-73.9662,69.76,89,100,2.44,overcast clouds
27,Berlevag,NO,70.8578,29.0864,43.12,78,91,16.87,overcast clouds
28,Uglegorsk,RU,49.0833,142.0333,62.49,86,49,3.89,scattered clouds
29,Doba,TD,8.65,16.85,73.67,93,82,1.61,light rain
30,Saint George,US,37.1041,-113.5841,104.47,18,1,1.01,clear sky
31,Blagoyevo,RU,63.3667,47.9167,37.49,90,31,7.02,scattered clouds
32,Manicore,BR,-5.8092,-61.3003,78.75,89,0,3.44,clear sky
33,Mahroni,IN,24.5862,78.7288,75.07,91,100,6.64,overcast clouds
34,Cayenne,GF,4.9333,-52.3333,82.09,83,0,1.99,clear sky
35,Shitkino,RU,56.3703,98.3543,42.44,97,100,4.76,overcast clouds
36,Saskylakh,RU,71.9167,114.0833,48.0,68,92,8.59,overcast clouds
37,Lompoc,US,34.6391,-120.4579,95.02,72,1,12.66,haze
38,Bredasdorp,ZA,-34.5322,20.0403,62.28,93,100,1.14,overcast clouds
39,Salisbury,GB,51.0693,-1.7957,64.78,93,40,10.36,scattered clouds
40,Fortuna,US,40.5982,-124.1573,83.43,65,1,3.0,clear sky
41,Kolyshley,RU,52.7005,44.5367,57.74,77,83,7.31,broken clouds
42,Dhidhdhoo,MV,6.8833,73.1,82.15,76,55,11.52,broken clouds
43,Tasiilaq,GL,65.6145,-37.6368,42.96,54,0,9.46,clear sky
44,Kupang,ID,-10.1667,123.5833,79.38,73,75,13.8,broken clouds
45,Longyearbyen,SJ,78.2186,15.6401,37.24,81,75,9.22,broken clouds
46,Vanimo,PG,-2.6741,141.3028,78.51,84,72,5.26,broken clouds
47,Yelyzavethradka,UA,48.8038,32.4046,58.93,61,49,0.98,scattered clouds
48,Santa Rosa,PH,14.3122,121.1114,81.1,88,100,3.96,overcast clouds
49,Hermanus,ZA,-34.4187,19.2345,64.9,49,100,7.99,overcast clouds
50,Mataura,NZ,-46.1927,168.8643,49.48,96,100,6.49,overcast clouds
51,Arraial Do Cabo,BR,-22.9661,-42.0278,73.36,88,0,10.36,clear sky
52,Zhuhai,CN,22.2769,113.5678,85.05,84,20,11.5,few clouds
53,Atar,MR,20.5169,-13.0499,100.78,9,7,7.67,clear sky
54,Castro,BR,-24.7911,-50.0119,63.68,78,100,7.18,overcast clouds
55,Barrow,US,71.2906,-156.7887,42.82,81,20,14.97,few clouds
56,Berdigestyakh,RU,62.0989,126.6992,39.83,57,9,3.83,clear sky
57,Suhbaatar,MN,50.2314,106.2078,44.26,87,11,3.36,few clouds
58,Port Elizabeth,ZA,-33.918,25.5701,62.89,77,40,20.71,scattered clouds
59,Pasighat,IN,28.0667,95.3333,75.0,91,96,4.21,overcast clouds
60,Butaritari,KI,3.0707,172.7902,83.64,70,6,13.56,clear sky
61,Georgetown,MY,5.4112,100.3354,77.9,90,20,0.0,few clouds
62,Tiznit,MA,29.5833,-9.5,77.05,35,0,1.57,clear sky
63,Koumac,NC,-20.5667,164.2833,71.6,57,95,4.18,overcast clouds
64,Chuy,UY,-33.6971,-53.4616,52.72,94,69,7.36,broken clouds
65,Harper,LR,4.375,-7.7169,77.31,88,72,11.5,light rain
66,Tsuyama,JP,35.05,134.0,65.23,80,84,0.78,broken clouds
67,Solnechnyy,RU,50.7214,136.6319,54.14,95,93,4.76,overcast clouds
68,Namibe,AO,-15.1961,12.1522,64.31,93,33,11.5,scattered clouds
69,Leh,IN,34.1667,77.5833,57.54,60,73,3.11,broken clouds
70,Carnarvon,AU,-24.8667,113.6333,62.67,100,75,8.05,broken clouds
71,Atuona,PF,-9.8,-139.0333,78.3,76,22,14.47,light rain
72,Channel-Port Aux Basques,CA,47.5702,-59.1367,63.39,90,100,12.26,light rain
73,Mar Del Plata,AR,-38.0023,-57.5575,51.82,100,90,20.71,moderate rain
74,Cape Town,ZA,-33.9258,18.4232,66.11,58,0,11.01,clear sky
75,Avarua,CK,-21.2078,-159.775,77.05,73,31,12.66,scattered clouds
76,Fukue,JP,32.6881,128.8419,77.23,72,70,7.76,broken clouds
77,Gwadar,PK,25.1216,62.3254,79.88,90,99,3.96,overcast clouds
78,Diamantino,BR,-14.4086,-56.4461,82.74,50,88,3.04,overcast clouds
79,Camana,PE,-16.6228,-72.7111,62.92,77,31,6.82,scattered clouds
80,Harriston,CA,43.9001,-80.883,68.0,73,38,10.51,scattered clouds
81,Mabaruma,GY,8.2,-59.7833,80.6,89,75,11.5,thunderstorm
82,Aklavik,CA,68.2191,-135.0107,61.63,58,20,8.05,few clouds
83,Changji,CN,44.0167,87.3167,70.59,40,0,8.95,clear sky
84,Skibotn,NO,69.3913,20.2679,44.69,98,100,4.56,overcast clouds
85,Saint John,CA,45.2727,-66.0677,72.63,83,75,3.44,broken clouds
86,Ribeira Grande,PT,38.5167,-28.7,72.97,89,63,11.1,broken clouds
87,San Patricio,US,28.017,-97.5169,99.01,29,0,9.86,clear sky
88,Raudeberg,NO,61.9875,5.1352,58.19,97,100,10.47,light rain
89,Mahebourg,MU,-20.4081,57.7,68.29,88,40,3.44,scattered clouds
90,Finnsnes,NO,69.2296,17.9811,45.21,86,100,9.71,overcast clouds
91,Kapaa,US,22.0752,-159.319,84.52,68,40,1.01,scattered clouds
92,Lagoa,PT,39.05,-27.9833,71.85,87,82,14.34,broken clouds
93,Touros,BR,-5.1989,-35.4608,79.7,79,9,14.34,clear sky
94,Stuttgart,DE,48.7823,9.177,66.45,81,0,2.3,clear sky
95,Lebu,CL,-37.6167,-73.65,53.17,86,10,11.95,clear sky
96,Chapayevka,UA,47.4711,36.3451,58.71,41,4,1.88,clear sky
97,Port Alfred,ZA,-33.5906,26.891,63.39,77,63,31.23,broken clouds
98,Roald,NO,62.5833,6.1333,59.32,88,75,12.66,broken clouds
99,Renfrew,GB,55.872,-4.3925,62.64,91,90,4.61,haze
100,Axim,GH,4.8699,-2.2405,76.41,90,8,7.2,clear sky
101,Sola,VU,-13.8833,167.55,79.47,78,75,6.91,broken clouds
102,Gawler,AU,-34.6,138.7333,54.46,59,0,5.19,clear sky
103,Tuktoyaktuk,CA,69.4541,-133.0374,57.2,62,40,11.5,scattered clouds
